row,score
10564,24.5689
14820,24.1256
2741,23.7182
4486,23.1811
10547,22.9759
2873,22.4004
230,22.1103
4456,21.6017
1308,21.5835
1235,21.2196
10300,21.0525
4143,20.9282
651,20.8511
2689,20.0237
13495,19.7018
661,19.5781
9365,19.5296
12050,19.3723
664,19.3239
12263,19.2497
7497,18.9374
10323,18.3664
13624,17.9617
4609,17.6014
8042,17.3896
1174,17.2187
12083,17.1154
13698,17.0084
13645,16.8669
12009,16.8317
12434,16.774
4139,16.6675
1239,16.5488
12025,16.0373
2221,15.9871
15559,15.9854
4338,15.8219
15301,15.7674
6332,15.544
10328,15.4859
13839,15.4831
5700,15.382
14503,15.231
7018,15.095
750,14.9541
6882,14.9156
8792,14.8096
8844,14.6951
3118,14.5862
2783,14.5394
1211,14.3088
16132,14.27
11246,14.084
6147,13.955
2976,13.9401
3075,13.7324
11754,13.6122
5911,13.5986
11972,13.5394
10457,13.4638
12044,13.4314
707,13.2787
7281,13.0476
11912,12.9226
1880,12.8523
10799,12.8241
11875,12.783
947,12.7496
2210,12.7222
8868,12.6488
6925,12.6469
9942,12.5984
13057,12.5586
4836,12.468
12229,12.406
11461,12.2189
16397,12.2141
92,12.0316
16523,11.9556
7135,11.9431
16636,11.9383
16289,11.8796
15695,11.8042
2224,11.7576
12621,11.73
13035,11.6935
12516,11.6784
10224,11.6165
5642,11.5874
8043,11.5332
11792,11.5302
8964,11.5114
13748,11.414
16602,11.3633
14442,11.3448
4866,11.3225
3065,11.2217
13390,11.2061
9350,11.1898
16126,11.1703
4363,11.1656
11867,11.1427
16588,11.0908
16913,10.9851
16363,10.9736
12395,10.8672
5544,10.8364
11509,10.8033
9888,10.762
1151,10.7414
5793,10.7331
15172,10.6786
3192,10.5931
2171,10.4095
13822,10.4002
4985,10.3929
15775,10.3842
1212,10.3436
13849,10.3412
8810,10.3203
11984,10.3179
858,10.2888
13323,10.2655
16483,10.2495
6484,10.2333
12573,10.1718
5063,10.095
894,10.0867
1928,10.0126
11547,9.9568
1183,9.9504
3103,9.8708
4945,9.8671
2888,9.8538
15319,9.8383
4854,9.7652
6324,9.7531
2458,9.6829
8036,9.6689
13640,9.6464
12750,9.6244
11985,9.6202
7458,9.5987
677,9.5581
14228,9.4573
8995,9.4275
16309,9.4055
15077,9.3651
8019,9.3521
438,9.3436
16930,9.3434
2465,9.3341
15483,9.3321
11759,9.332
5789,9.2848
15194,9.2788
1368,9.2468
6555,9.242
15594,9.2197
9797,9.2119
2717,9.1583
12252,9.1512
746,9.142
10865,9.1391
11536,9.101
12399,9.0796
313,9.0726
13403,9.028
10831,8.9475
11982,8.9178
7615,8.907
4920,8.8613
14291,8.8229
5535,8.8199
13122,8.8086
6964,8.7765
7760,8.7654
13656,8.7524
12653,8.735
11288,8.6985
9353,8.6714
2449,8.6452
3548,8.6452
3343,8.6359
11211,8.6276
9815,8.5737
902,8.5394
9871,8.5189
6116,8.5041
15869,8.4931
14157,8.4557
15106,8.4494
11204,8.435
1582,8.4019
8806,8.3951
13908,8.3885
7698,8.3625
9164,8.3565
5924,8.3547
8619,8.331
15692,8.3086
15461,8.3009
9684,8.2998
2671,8.2924
7300,8.291
9069,8.2809
5894,8.2317
4923,8.2303
3497,8.2255
1917,8.2122
15661,8.2025
57,8.1719
4246,8.1603
7484,8.1557
12571,8.1454
15807,8.1133
5899,8.0049
13140,7.9986
144,7.9892
12041,7.9678
13202,7.9678
13652,7.9599
16499,7.9516
12784,7.9352
12020,7.8964
11065,7.8951
10930,7.8857
4570,7.8719
12274,7.8649
13218,7.8621
11795,7.8453
12488,7.8424
13478,7.8409
4502,7.836
4266,7.8292
4495,7.8246
11652,7.8132
13325,7.8
1506,7.7922
3713,7.7907
16212,7.7901
12311,7.7763
16306,7.7606
1555,7.7508
9356,7.7499
9330,7.7358
6784,7.7134
5276,7.7028
12204,7.7006
12205,7.7006
5361,7.6982
4401,7.6945
1289,7.6552
13551,7.6543
9061,7.6439
13723,7.6354
16924,7.6218
4343,7.6161
6544,7.6055
15419,7.5632
11223,7.5544
9348,7.5503
8091,7.5422
6866,7.4984
6570,7.4977
950,7.4894
15812,7.4843
14104,7.4714
8660,7.4503
8218,7.4376
14604,7.42
13608,7.4128
3552,7.412
11399,7.4112
10438,7.4092
9398,7.4057
3900,7.4035
9393,7.3799
1030,7.3762
9737,7.373
6334,7.3532
9391,7.3417
7284,7.338
11252,7.3355
9063,7.3337
13004,7.3242
13115,7.3187
4671,7.3053
7392,7.3016
5778,7.3007
2425,7.2894
1493,7.2846
13612,7.2664
8533,7.2539
11091,7.246
13915,7.2447
9837,7.2402
3961,7.231
3545,7.1989
1158,7.1988
5448,7.1906
12396,7.1902
7009,7.1641
16287,7.1292
4734,7.1288
2277,7.1081
12240,7.0967
12709,7.0936
12063,7.0841
1859,7.0726
9223,7.0712
11767,7.0574
10497,7.0539
7759,7.047
9463,7.045
13379,7.0397
10986,7.0303
10726,7.0162
7706,7.0147
14347,7.0137
7997,7.0006
12649,6.996
8114,6.9712
984,6.971
6581,6.9697
11251,6.9597
10568,6.9589
11978,6.9547
8140,6.9537
3984,6.9409
11926,6.9337
10862,6.9295
9261,6.924
988,6.9178
13081,6.8978
9357,6.8952
3960,6.8443
16741,6.842
1403,6.8315
6120,6.8294
9376,6.8239
13165,6.8239
4490,6.8046
11872,6.7985
12661,6.7899
15412,6.7899
11069,6.7838
6114,6.7809
10911,6.7744
926,6.7702
12467,6.7631
9482,6.7497
14859,6.746
15858,6.74
11116,6.7353
7784,6.7283
4407,6.7231
7679,6.7204
10660,6.7159
3988,6.7095
10972,6.6977
2202,6.6764
8389,6.6764
13731,6.6734
3673,6.6714
14288,6.6681
5893,6.662
8076,6.6606
14277,6.6604
1855,6.6582
14233,6.6551
9210,6.6436
14912,6.6351
8865,6.6322
15926,6.6276
10303,6.6178
8163,6.6126
12269,6.6049
3400,6.6028
13116,6.6025
13702,6.5896
16895,6.5856
2982,6.5712
12106,6.5682
15471,6.5635
10538,6.5629
16524,6.5571
8761,6.5552
8407,6.5527
13155,6.5467
11106,6.5418
5342,6.5414
5909,6.5323
3980,6.5282
7017,6.5269
12668,6.5246
9621,6.5211
11932,6.5168
5434,6.503
12559,6.4987
10141,6.4882
434,6.4861
472,6.4825
9491,6.4776
2790,6.4731
7376,6.4627
8212,6.4483
10975,6.4457
160,6.4413
11240,6.4311
16473,6.4294
9603,6.4254
747,6.4247
12431,6.4093
7687,6.406
8014,6.404
16035,6.4033
9878,6.3948
13668,6.38
12221,6.3765
14088,6.3708
6846,6.3584
9377,6.3564
10968,6.3536
1600,6.3531
7248,6.3501
16336,6.3474
9368,6.3431
6578,6.3413
2479,6.3218
6790,6.3202
5228,6.3154
5528,6.3109
11208,6.3069
9464,6.2935
8709,6.2883
4290,6.2835
4359,6.2826
4323,6.2787
11304,6.2775
1572,6.2707
2014,6.2638
2733,6.2625
11758,6.26
16484,6.2569
11705,6.2517
11155,6.2511
16431,6.2449
13253,6.2414
9466,6.2381
3484,6.2377
14448,6.2294
218,6.229
5401,6.2276
9329,6.2266
15999,6.2211
11082,6.2131
10977,6.2014
16124,6.1972
6586,6.1892
14415,6.1863
4472,6.1816
2143,6.1706
6601,6.1706
4729,6.1672
11621,6.1645
12324,6.1628
5592,6.1482
11003,6.1405
6604,6.1377
13863,6.1295
13408,6.1251
7713,6.124
13158,6.1232
11037,6.12
14229,6.1183
6767,6.1162
15589,6.1059
10686,6.0989
14586,6.0985
3426,6.0966
10934,6.0966
811,6.0934
5521,6.079
13053,6.0772
4926,6.0754
1593,6.0702
13638,6.0646
7449,6.0615
12093,6.0569
8117,6.0567
1167,6.055
10402,6.0527
6272,6.0493
3716,6.049
9601,6.0424
11714,6.0408
11090,6.0405
14154,6.0354
9741,6.0348
2826,6.0333
9145,6.0327
13189,6.0181
9076,6.018
16942,6.018
2501,6.0144
16463,6.0141
2127,6.0133
13565,6.0017
16909,5.9759
12846,5.9686
12091,5.9633
11312,5.9596
5191,5.9547
14359,5.9508
12236,5.9494
11121,5.9326
4520,5.9284
9637,5.9248
14894,5.9133
9198,5.9072
12298,5.9006
15716,5.9006
14691,5.894
13118,5.8914
14932,5.8903
10787,5.8828
11997,5.8799
7883,5.873
11766,5.8717
7231,5.8581
15928,5.8522
11908,5.8457
11897,5.8411
3603,5.829
14303,5.8289
13597,5.8097
4782,5.8022
3331,5.7991
10625,5.7948
4587,5.7942
1234,5.789
15092,5.7886
788,5.7796
4350,5.7786
2622,5.7784
4492,5.7717
12294,5.7675
16805,5.7601
12499,5.7467
7122,5.7461
5360,5.731
11577,5.7175
10951,5.7154
4771,5.7019
2583,5.6999
7922,5.6992
8037,5.6992
10685,5.6992
11163,5.6986
7132,5.6922
11303,5.6914
9457,5.6814
7703,5.6768
14764,5.6649
10551,5.6615
13398,5.6467
16766,5.6467
12992,5.6432
8687,5.6394
16173,5.6328
11771,5.6312
6375,5.625
8182,5.6248
8095,5.6226
9458,5.6226
10912,5.6211
1935,5.616
1303,5.6087
4331,5.6068
10962,5.6028
7140,5.5964
2957,5.5937
5660,5.5825
10981,5.5809
6329,5.5798
11351,5.5766
14232,5.5757
4076,5.5736
6565,5.5731
9614,5.57
13740,5.5654
8271,5.5606
5536,5.5504
4015,5.5478
7823,5.5398
13206,5.5348
16002,5.5348
11301,5.5336
5088,5.5319
10605,5.5167
7923,5.4881
16955,5.4843
9462,5.4828
4615,5.4807
3270,5.4785
12553,5.4736
11113,5.47
3539,5.4601
8106,5.4601
8056,5.4548
14616,5.4523
16509,5.4523
10914,5.4459
12238,5.4449
1545,5.4364
14364,5.4359
9806,5.432
8885,5.4219
13298,5.4167
6177,5.4152
6336,5.4137
2908,5.3998
14784,5.3996
1576,5.3993
1938,5.3962
8078,5.3901
11967,5.3866
6557,5.3864
8685,5.3756
16254,5.3741
12217,5.3682
1885,5.3625
12386,5.3579
5325,5.3517
11088,5.3517
12932,5.3463
13187,5.3433
10467,5.3327
6033,5.3282
15774,5.3282
2811,5.3207
2522,5.3204
4342,5.3131
11192,5.3075
15496,5.3061
4572,5.3058
13636,5.2982
9647,5.2829
11723,5.2826
16003,5.2782
11943,5.2759
13469,5.2748
9821,5.2705
8714,5.2685
11422,5.2644
871,5.2584
13735,5.2463
3236,5.2401
1141,5.2374
13176,5.2374
11010,5.237
8230,5.2173
13716,5.2137
16465,5.2099
9447,5.203
13363,5.2009
15435,5.2009
2770,5.2008
11378,5.199
1164,5.1905
10615,5.1894
8236,5.1803
214,5.1798
5809,5.1752
1714,5.1742
3317,5.1625
13089,5.1595
3821,5.1509
12200,5.1461
6045,5.1417
1691,5.1373
2070,5.132
8172,5.1147
5185,5.1048
16063,5.0953
13713,5.0875
6316,5.0836
16618,5.0836
4850,5.0801
11933,5.0774
7429,5.0753
9106,5.063
4097,5.0595
13634,5.0563
2576,5.05
16398,5.0495
11928,5.0444
8099,5.0423
2374,5.0371
11000,5.0348
7385,5.0293
8986,5.0282
13627,5.0169
12670,5.0159
5559,5.0133
1749,5.0059
8932,5.0038
13372,5.0028
14873,5.0025
7372,4.9959
11247,4.9853
13603,4.9853
3325,4.9842
12037,4.9842
11770,4.9779
15847,4.9779
16458,4.9771
12426,4.9761
8692,4.9734
6739,4.9695
14528,4.9663
5196,4.9626
13866,4.9556
14928,4.9556
11337,4.9529
16346,4.9519
5000,4.9495
12892,4.9487
6381,4.9452
10443,4.9398
4735,4.937
9519,4.9365
13405,4.9306
13159,4.9305
13350,4.913
9264,4.91
10603,4.9051
7930,4.9048
11108,4.9024
16323,4.8984
4221,4.8979
12631,4.8979
8980,4.891
11550,4.8908
12902,4.8865
12064,4.8861
10535,4.874
4980,4.8731
13599,4.8719
1413,4.8684
15973,4.8618
4195,4.8594
9811,4.8575
4651,4.8553
9893,4.8527
10961,4.8506
8661,4.8493
8004,4.8403
980,4.8325
10140,4.831
3989,4.8292
6880,4.8266
8760,4.8159
11987,4.8083
13167,4.8073
3357,4.8066
14387,4.8061
7384,4.8047
1265,4.7988
1483,4.7973
10795,4.7897
12374,4.7766
116,4.7744
6651,4.7636
16802,4.7634
11900,4.7581
7602,4.741
6948,4.7376
4650,4.7357
132,4.732
1507,4.725
2877,4.7219
7988,4.7208
4887,4.7176
15845,4.717
1256,4.708
4035,4.6983
12708,4.6915
4698,4.6906
4294,4.6887
10980,4.6823
10090,4.6805
16585,4.6805
10695,4.677
10683,4.6698
2720,4.6695
6595,4.6684
1299,4.6601
10039,4.6601
4897,4.6591
15873,4.6553
3167,4.6503
8350,4.6465
4167,4.6368
10219,4.6337
8213,4.6311
10032,4.6235
6843,4.623
13371,4.608
5918,4.604
16230,4.6004
12124,4.5986
4180,4.5899
5657,4.5879
3523,4.5819
13868,4.5781
3516,4.5779
300,4.5777
5910,4.5719
8426,4.5706
11103,4.568
509,4.5661
5940,4.5622
5090,4.5581
8134,4.5559
9801,4.5432
2421,4.5384
5293,4.5374
10820,4.5336
2558,4.5328
6377,4.5323
7250,4.5307
2268,4.5285
6404,4.521
1619,4.5199
69,4.5179
13976,4.5179
7070,4.506
9449,4.5014
326,4.4985
11683,4.4904
15920,4.4896
11592,4.4869
11526,4.4782
6623,4.4756
11199,4.4708
11542,4.4708
5858,4.4695
12851,4.4695
7979,4.4694
14190,4.4694
4489,4.4608
6895,4.4588
14763,4.4588
10043,4.4573
15872,4.4524
10213,4.4476
11212,4.4425
6433,4.4378
16251,4.4378
188,4.4363
4896,4.4263
2489,4.4238
7994,4.4238
5208,4.4055
7094,4.4051
5279,4.3997
5022,4.3982
14869,4.3982
4885,4.3963
5578,4.3912
7521,4.3869
6572,4.3735
4733,4.3722
9060,4.3686
4705,4.3673
12007,4.3657
7114,4.3623
11777,4.3596
11632,4.359
11976,4.3508
11644,4.3503
10985,4.3456
10469,4.3425
9273,4.3356
3914,4.3326
12887,4.3283
1774,4.3265
10935,4.3228
7430,4.318
15971,4.3157
108,4.3135
6218,4.3099
6412,4.306
5105,4.3048
3058,4.2994
3445,4.2972
9084,4.2964
7708,4.2903
15951,4.2901
6042,4.2837
5059,4.2791
14248,4.2765
8739,4.2733
14028,4.2668
3974,4.2666
16215,4.2571
10553,4.2537
8372,4.2512
7879,4.238
11546,4.238
12368,4.238
1242,4.2361
8997,4.2304
2265,4.2285
5248,4.2256
10764,4.2252
13127,4.2226
1444,4.2196
9298,4.2191
7977,4.219
9949,4.219
7817,4.2095
13492,4.2095
3403,4.2066
10030,4.2036
11635,4.1994
13721,4.1994
11822,4.1954
2911,4.1841
8595,4.1815
7689,4.1777
6731,4.1765
4912,4.1694
6160,4.1694
3525,4.1689
5340,4.163
5153,4.1611
14666,4.1579
15626,4.1518
1342,4.1506
1758,4.1503
14662,4.1416
3353,4.1284
601,4.1276
95,4.1258
9852,4.1204
4164,4.1181
7048,4.1123
14674,4.1091
489,4.1043
12388,4.1043
7276,4.0995
12786,4.0945
1315,4.0914
13928,4.0861
5439,4.0837
6374,4.0603
801,4.06
10571,4.0562
9645,4.0554
4159,4.0533
8180,4.0467
9618,4.0467
3478,4.0432
8227,4.038
6125,4.0307
10002,4.0298
8312,4.0294
10209,4.0188
1079,4.0147
2540,4.0144
4557,4.0135
16061,4.0113
112,4.0086
6993,4.0019
13063,3.9951
11975,3.9877
1652,3.9848
2609,3.9848
79,3.9827
16769,3.9781
33,3.9739
11043,3.9724
8318,3.9699
13639,3.9699
1658,3.967
124,3.9649
2519,3.9649
1318,3.9636
7371,3.9615
2065,3.9575
16329,3.9532
4740,3.9529
10544,3.9466
2516,3.9426
7374,3.9367
8009,3.9367
8253,3.9367
4789,3.9279
16328,3.9279
5032,3.9271
16055,3.9263
3299,3.9234
9496,3.9203
1739,3.9196
2941,3.9133
2446,3.9129
12085,3.9101
16023,3.8996
3432,3.8988
8224,3.8961
10183,3.8959
4402,3.8908
2919,3.8844
5308,3.8798
3767,3.8777
507,3.8701
12893,3.8653
16144,3.864
1330,3.8622
13208,3.8565
9283,3.856
9443,3.856
8953,3.8548
5650,3.8445
7121,3.8418
12512,3.8418
16247,3.8403
5356,3.8355
11776,3.8348
9990,3.8216
11111,3.8169
2751,3.8097
2528,3.8001
8470,3.8001
8847,3.7988
1317,3.7963
2964,3.7864
8103,3.7862
5499,3.779
16039,3.7786
9277,3.7778
3430,3.7665
3994,3.7661
3574,3.7635
7858,3.7635
93,3.7599
1215,3.7586
9987,3.756
2698,3.7529
10834,3.7476
13911,3.7459
11119,3.7393
15327,3.7293
12504,3.7194
7666,3.7189
13399,3.7189
3482,3.7129
10906,3.7115
15381,3.705
7688,3.7043
9388,3.7043
3963,3.7037
1208,3.7024
11921,3.701
514,3.7003
8064,3.697
8183,3.6898
10227,3.6882
7369,3.6826
1147,3.6796
13112,3.6754
853,3.6741
9408,3.6688
16581,3.6682
2614,3.6675
5188,3.6668
12244,3.6611
9140,3.6572
8923,3.654
12408,3.6518
11799,3.6484
12429,3.6484
14694,3.6459
16450,3.6459
16498,3.6459
13680,3.6425
10206,3.6421
15991,3.6392
6932,3.6391
4197,3.6377
7145,3.6365
34,3.6282
775,3.6257
6540,3.6119
12403,3.6119
3431,3.6111
16076,3.6054
1911,3.6003
11931,3.5946
7467,3.5912
16485,3.5844
15988,3.5829
5069,3.5826
8096,3.5801
11376,3.5767
620,3.5756
11115,3.574
8805,3.5728
168,3.5717
492,3.5703
5098,3.5661
4588,3.5657
9010,3.564
16180,3.564
4463,3.5579
10233,3.5559
11105,3.5559
8156,3.5506
5206,3.5439
15584,3.538
11627,3.5379
10212,3.5346
5246,3.5329
5533,3.5306
9346,3.5306
14240,3.5306
6732,3.5241
8438,3.5232
14993,3.5226
6749,3.5174
6994,3.5174
8234,3.5109
13877,3.5106
5013,3.5062
7663,3.5043
4829,3.504
5492,3.501
15238,3.5009
4047,3.4968
9841,3.4958
14907,3.4913
3598,3.4902
10160,3.4851
9415,3.4815
4641,3.4736
9117,3.473
4577,3.4691
4543,3.4566
4637,3.4502
9194,3.4466
14323,3.4463
13848,3.4428
5769,3.4414
6926,3.4379
10546,3.4258
13513,3.4215
3587,3.4152
5682,3.4152
10261,3.4116
9427,3.4091
12043,3.4091
12006,3.4055
7860,3.4022
14334,3.4002
5219,3.3993
7752,3.3968
773,3.3927
11195,3.3907
9920,3.39
4911,3.385
9567,3.3827
5716,3.3786
15666,3.3749
11557,3.3725
9771,3.3699
6418,3.3649
3508,3.3571
8409,3.3571
13646,3.3545
15669,3.3545
12479,3.3401
12793,3.3401
16301,3.3366
10592,3.3358
10797,3.3358
3495,3.3352
12481,3.3352
385,3.3347
2800,3.333
10386,3.3305
11460,3.3229
15366,3.3206
12705,3.3073
15592,3.3073
4730,3.3044
3965,3.3026
12692,3.3015
11817,3.3013
7566,3.2965
6833,3.2958
1195,3.2912
5580,3.2875
15513,3.287
15601,3.287
3500,3.2865
8978,3.2843
3120,3.2837
11038,3.2837
5079,3.2785
14450,3.2785
10709,3.2775
13291,3.2775
3903,3.2727
9453,3.2672
4155,3.2646
3750,3.2614
4081,3.2609
11148,3.2586
14730,3.2532
6219,3.2526
4632,3.249
1523,3.2482
12961,3.2451
6692,3.2446
13130,3.2446
5122,3.2419
9739,3.24
9103,3.2391
4672,3.2382
4383,3.2369
16487,3.2308
1245,3.2262
9867,3.2262
3352,3.206
8500,3.2035
15649,3.199
6962,3.1954
6691,3.1941
9342,3.1941
3475,3.1842
11831,3.1789
3381,3.1746
11102,3.1735
7013,3.1703
4988,3.1629
9777,3.1598
3613,3.1589
11579,3.1589
12825,3.1565
8523,3.1557
11878,3.1557
10806,3.1539
6461,3.1528
11634,3.1523
7877,3.1501
4573,3.1498
9661,3.147
13635,3.147
11995,3.1423
8178,3.1418
3078,3.1365
7362,3.1365
3595,3.1327
2844,3.1313
1563,3.1284
15755,3.1241
10362,3.1198
12767,3.1198
9894,3.1158
10040,3.1155
4547,3.1152
249,3.1151
10915,3.1135
5829,3.1106
10528,3.1089
12654,3.1079
10952,3.107
4931,3.0985
13728,3.0985
2218,3.0943
14314,3.091
5780,3.0859
12706,3.0851
14275,3.0826
11203,3.0801
13851,3.0734
6683,3.0703
8119,3.0698
12128,3.0698
3611,3.0659
12219,3.0648
3227,3.0609
10955,3.0601
13739,3.0601
11140,3.0591
7010,3.0538
10132,3.0527
5273,3.0503
6793,3.0495
13169,3.0495
4612,3.0486
13317,3.0486
6886,3.0458
8012,3.0452
8797,3.0452
13630,3.0452
6592,3.0414
11828,3.0414
11307,3.0413
3090,3.0408
978,3.0404
15436,3.0404
1729,3.0352
16279,3.0332
15815,3.0323
4719,3.0283
14021,3.0256
10481,3.0251
3597,3.0242
12190,3.0242
5460,3.024
12372,3.017
3632,3.0162
4607,3.0162
3025,3.0144
5712,3.0122
5120,3.009
9150,3.009
12169,3.009
15501,3.0082
9290,3.0063
4267,3.0011
9017,2.9932
12958,2.9884
9858,2.9872
10205,2.9859
8636,2.9853
4620,2.9845
6675,2.9764
11824,2.9731
4663,2.9728
5351,2.9684
207,2.9666
2071,2.965
3000,2.965
9314,2.9637
14049,2.9573
9139,2.9544
9372,2.9544
9481,2.9544
11401,2.9542
11522,2.9542
710,2.9534
5420,2.9466
12078,2.9452
1099,2.9438
4721,2.9419
11098,2.9419
4399,2.9394
9323,2.9389
11694,2.9389
1861,2.9381
3849,2.9381
9409,2.9363
518,2.9362
1175,2.9343
10499,2.9271
6436,2.9238
9498,2.9238
3816,2.923
13797,2.923
2299,2.9163
3298,2.9127
5313,2.9112
5567,2.9088
3856,2.908
8132,2.9043
6214,2.8991
5339,2.8969
3756,2.894
5029,2.8932
8532,2.8932
4741,2.8869
10973,2.8866
12473,2.8866
13014,2.8822
10766,2.8793
11665,2.872
4156,2.8712
5488,2.8689
7664,2.864
8063,2.8594
10470,2.8575
16672,2.8575
469,2.8522
9065,2.8504
11057,2.8504
16049,2.8504
9579,2.8472
10278,2.846
16682,2.8432
6030,2.8354
9505,2.8304
4445,2.8291
4790,2.8281
10950,2.8248
7657,2.822
11236,2.822
9563,2.8216
14582,2.8216
5493,2.821
3909,2.8178
3429,2.8164
9430,2.815
4226,2.8143
12161,2.8135
2585,2.8108
